per_sem;agente;mto_tot_ingresos_soles;cnt_alquileres_mean;cnt_alquileres_std;cnt_dias_alquilados_mean;cnt_dias_alquilados_std;mto_alquiler_soles_std;mto_conserje_soles_mean;mto_conserje_soles_min;mto_conserje_soles_max;mto_conserje_soles_sum;mto_conserje_soles_std;mto_adicionales_soles_mean;mto_adicionales_soles_std;mto_tot_bruto_ingresos_soles_mean;mto_tot_bruto_ingresos_soles_std;porc_mto_alq_mean;porc_mto_alq_max;porc_mto_alq_std;porc_mto_csje_mean;porc_mto_csje_min;porc_mto_csje_max;porc_mto_csje_std;porc_mto_ing_mean;porc_mto_ing_max;ratio_alq_mto_x_unid_mean;ratio_alq_mto_x_unid_std;ratio_csje_mto_x_unid_mean;ratio_csje_mto_x_unid_min;ratio_csje_mto_x_unid_max;ratio_csje_mto_x_unid_std;ratio_alq_mto_x_dia_std;ratio_csje_mto_x_dia_mean;ratio_csje_mto_x_dia_min;ratio_csje_mto_x_dia_max;ratio_csje_mto_x_dia_std
201908;AGENT - 006;3410;2.666666667;0.577350269;11;1.732050808;476.3139721;0;0;0;0;0;3481.133333;27.94375303;6561.133333;490.8827287;1;1;0;0;0;0;0;0.467474254;0.491935484;1213.055556;425.0737953;0;0;0;0;46.23555268;0;0;0;0
201908;AGENT - 010;0;0.333333333;0.577350269;1.333333333;2.309401077;558.8750606;0;0;0;0;0;0;0;322.6666667;558.8750606;0.333333333;1;0.577350269;0;0;0;0;0.333333333;1;322.6666667;558.8750606;0;0;0;0;139.7187651;0;0;0;0
201908;AGENT - 012;550;4.666666667;0.577350269;13.66666667;0.577350269;47.94788838;0;0;0;0;0;4049.826;2962.089981;8713.899;4673.512607;0.972826087;1;0.047066598;0;0;0;0;0.491983115;0.654368932;797.5;95.26914506;0;0;0;0;14.10643458;0;0;0;0
201908;AGENT - 015;6825.5;0.666666667;0.577350269;0.666666667;0.577350269;336.055551;0;0;0;0;0;14.03;24.30067283;307.3633333;332.3210135;0.666666667;1;0.577350269;0;0;0;0;0.613135437;1;293.3333333;336.055551;0;0;0;0;127.0170592;0;0;0;0
201908;AGENT - 018;2937.55;2;2;7.333333333;9.451631253;3895.354043;0;0;0;0;0;1205.88;1078.586121;4686.17;4895.244487;0.666666667;1;0.577350269;0;0;0;0;0.476189586;0.787181671;1099.468333;990.4836227;0;0;0;0;213.5912646;0;0;0;0
201908;AGENT - 027;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
201908;AGENT - 028;1771;3;2;12;7;1897.523913;0;0;0;0;0;3594.832667;3357.577033;7171.313333;6013.350619;1;1;0;0;0;0;0;0.496931987;0.588481578;1202.911111;511.9330266;0;0;0;0;6.05010288;0;0;0;0
201908;AGENT - 029;1738;2;1;5.333333333;4.041451884;2946.041171;0;0;0;0;0;0;0;3147.833333;2946.041171;1;1;0;0;0;0;0;1;1;1273.555556;928.9887921;0;0;0;0;162.3199002;0;0;0;0
201909;AGENT - 001;3333;1.333333333;1.527525232;3;3.605551275;1239.05125;0;0;0;0;0;2.2;3.810511777;926.2;1242.8014;0.666666667;1;0.577350269;0;0;0;0;0.665725933;1;405.7777778;389.7950079;0;0;0;0;169.4035957;0;0;0;0
201909;AGENT - 002;5137;7;1.732050808;11;12.12435565;3054.760274;0;0;0;0;0;402.6;599.188084;8113.6;1575.757583;1;1;0;0;0;0;0;0.956689363;1;1122.55;127.9169824;0;0;0;0;4.390811076;0;0;0;0
201909;AGENT - 004;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
201909;AGENT - 006;3135;2.333333333;1.154700538;10;3;792.2291335;0;0;0;0;0;3481.133333;27.94375303;6033.133333;816.867831;1;1;0;0;0;0;0;0.416240858;0.48846893;1244.222222;476.4738926;0;0;0;0;2.931162905;0;0;0;0
201909;AGENT - 010;0;0.333333333;0.577350269;1.333333333;2.309401077;558.8750606;0;0;0;0;0;0;0;322.6666667;558.8750606;0.333333333;1;0.577350269;0;0;0;0;0.333333333;1;322.6666667;558.8750606;0;0;0;0;139.7187651;0;0;0;0
201909;AGENT - 012;0;4;1;15;1.732050808;392.470381;0;0;0;0;0;3632.933333;2248.61346;7526.933333;2628.426772;1;1;0;0;0;0;0;0.545209293;0.654368932;1032.411111;369.6495282;0;0;0;0;4.628084029;0;0;0;0
201909;AGENT - 015;1056;0.666666667;0.577350269;2;2.645751311;687.6833089;0;0;0;0;0;339.2166667;587.5405014;1017.55;1235.748764;0.666666667;1;0.577350269;0;0;0;0;0.524892205;1;678.3333333;687.6833089;0;0;0;0;145.5163221;0;0;0;0
201909;AGENT - 018;2937.55;3;1;12.33333333;7.371114796;2603.214264;0;0;0;0;0;1205.88;1078.586121;5947.686667;3317.023789;1;1;0;0;0;0;0;0.80952292;1;1519.973889;352.8950928;0;0;0;0;111.4311216;0;0;0;0
